"Name","State","Runtime","activation","autoaugment","batch_norm","batch_size","epochs","lr","optimizer","seed","use_cutout","weight_decay","epoch","epoch_time_sec","train_acc","train_loss","val_acc","val_loss"
"eternal-sweep-17","finished","706","SiLU","false","false","64","20","0.001","Nadam","42","true","0","20","35.44145441055298","66.75","0.9568364595818092","76.65","1.0108825453698635"
"soft-sweep-16","finished","652","SiLU","true","true","128","20","0.001","Nadam","42","true","0.0005","20","33.08390808105469","63.43","1.0519470836195497","71.35","1.0065745458513498"
"olive-sweep-15","finished","1052","Tanh","true","false","64","30","0.001","Nadam","42","true","0","30","33.042834758758545","63.32","1.047751464502281","68.85","1.014479833304882"
"vague-sweep-14","finished","2688","Tanh","true","false","64","80","0.001","Nadam","42","false","0.0005","80","32.91131520271301","60.376","1.13590114264537","68.75","1.0143543740928174"
"golden-sweep-13","finished","655","Tanh","false","false","128","20","0.001","Nadam","42","true","0.0005","19","30.916380405426025","54.458","1.2842192277883937","55.17","1.010846895802021"
"dazzling-sweep-12","finished","1064","Tanh","false","false","64","30","0.001","Nadam","42","false","0","30","35.67955732345581","63.32","1.047751464502281","68.85","1.014479833304882"
"sparkling-sweep-11","finished","2708","Tanh","true","false","64","80","0.0001","Adagrad","42","false","0.0005","80","32.588053464889526","30.05","1.9644680323503207","38.12","1.0271873433589935"
"unique-sweep-10","finished","990","GELU","false","false","128","30","0.0001","RMSprop","42","false","0.0005","30","33.09215497970581","57.464","1.2189184796169896","65.57","1.0077741312205792"
"peach-sweep-9","finished","701","Tanh","true","false","64","20","0.0001","Adagrad","42","false","0","20","33.05295538902283","25.782","2.059693379932657","33.8","1.0291221477985382"
"deep-sweep-8","finished","1735","ReLU","true","true","64","50","0.01","Adam","42","true","0.0005","50","34.947007179260254","47.656","1.4691693883417818","53.06","1.0216574910640717"
"deft-sweep-7","finished","958","ReLU","true","false","128","30","0.001","Adagrad","42","true","0.0005","30","30.726426362991333","46.476","1.513845420554471","56.81","1.009692347085476"
"ethereal-sweep-6","finished","657","ReLU","false","false","128","20","0.01","RMSprop","42","true","0.0005","20","31.62399435043335","49.578","1.4164881258059645","42.15","1.0169597482204438"
"deft-sweep-5","finished","1731","Tanh","true","true","64","50","0.001","RMSprop","42","true","0.0005","50","32.705355167388916","57.376","1.2043945073624096","58.22","1.0206146952331066"
"eager-sweep-4","finished","720","Tanh","true","false","64","20","0.001","Nadam","42","true","0","20","33.866374492645264","59.966","1.131379432309314","69.31","1.014489983320236"
"fragrant-sweep-3","finished","1531","Sigmoid","true","false","256","50","0.01","Adam","42","true","0.0005","50","30.32782816886902","40.674","1.6256300934723444","10","1.0272347915649414"
"iconic-sweep-2","finished","1183","ReLU","true","false","64","30","0.01","Adam","42","false","0.0005","30","35.449262380599976","47.072","1.4779403150234076","58.55","1.018228386467695"
"feasible-sweep-1","finished","1715","Sigmoid","true","true","64","50","0.01","Nesterov-SGD","42","true","0","50","33.08913612365723","56.634","1.2176844518812722","51.65","1.0258436839342118"
